Attribute,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2016 Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) -,computed) - Less than 15.0 percent,,,,,,,,,,,,,,,
value,12.4978,15.0292,14.9887,15.3599,12.3565,16.0745,12.5935,15.5695,10.5656,12.1985,14.6462,13.6257,10.4152,9.5246,11.0111,12.1196
min,7.8,11,10.1,11.3,7.4,12.4,9.4,10.7,6.5,9.3,11,9.5,7.4,6.2,7.8,8
max,15.7,22.2,18.9,18.8,16.2,24,17.2,29.6,15.9,14.7,21.1,18.9,15,14,16.2,19
mean,12.4667,15.0846,14.9632,15.3714,12.3864,16.1214,12.6143,15.6273,10.5733,12.2091,14.6286,13.6565,10.4385,9.4923,11.0385,12.1
std. dev.,2.0237,3.1672,2.3637,2.1007,2.2237,3.1106,2.7745,4.2672,2.4253,1.8918,2.9867,2.6878,2.3751,2.1643,2.3433,3.0203
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) -,computed) - 35.0 percent or more,,,,,,,,,,,,,,,
value,40.1005,34.7583,36.1576,39.4339,38.9321,36.4806,43.0511,38.2719,43.458,43.125,37.516,39.5679,44.6301,45.4567,44.4577,43.2324
min,35.2,28.9,29.8,34.9,31.1,28.7,36.6,27.1,34.4,36.3,32.4,28.9,37.2,37.3,31.3,32.4
max,45.2,38.8,44.7,47.9,46.8,43.5,48.3,48.8,58.1,53.3,43.3,47.5,50.5,54.7,55.7,56.1
mean,40.0833,34.7231,36.1211,39.4333,38.8955,36.4286,43.0571,38.2136,43.5,43.1636,37.5571,39.5174,44.6077,45.4923,44.5154,43.2882
std. dev.,2.8969,3.5901,3.951,3.5072,3.9054,4.2006,4.2091,5.3043,6.6088,6.3086,3.3154,4.7156,4.8582,5.1771,6.4078,6.1871
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) -,computed) - 30.0 to 34.9 percent,,,,,,,,,,,,,,,
value,9.4403,9.5844,9.1031,8.4431,9.2405,8.7796,9.4527,8.8415,9.3459,8.4056,8.3443,9.5342,10.0165,9.4726,9.1531,9.2069
min,8,6.4,6.8,6.1,6.2,5.8,5.2,7.1,7,5.5,6.5,6.7,8.5,8.3,5.9,6.9
max,12.7,11.5,12.2,11.7,15.1,11.4,14.7,12.1,11.5,13.3,10.3,16.7,11.4,10.8,12.9,12.1
mean,9.45,9.5615,9.1105,8.4476,9.2136,8.75,9.4429,8.8409,9.3533,8.4,8.3357,9.4696,10.0154,9.4615,9.1308,9.1941
std. dev.,1.1903,1.2913,1.4647,1.2844,1.7841,1.6157,3.0149,1.1983,1.0288,2.1227,1.1091,2.2824,1.0294,0.7974,2.1861,1.3984
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) -,computed) - 25.0 to 29.9 percent,,,,,,,,,,,,,,,
value,12.3009,11.8197,11.6475,11.2084,11.509,11.6128,10.8321,11.3281,12.0553,10.902,11.7638,11.8979,11.7714,11.6352,10.9774,10.9051
min,10.6,8,8.3,8.1,7.6,8,8.3,8.6,8.1,6.1,8.2,8.8,10.6,9.9,7.1,8.4
max,14.7,13.5,16.7,14.7,14.5,19.4,15,15.9,15,19.1,13.9,15.1,12.6,14,13.3,16.2
mean,12.2944,11.8154,11.6263,11.1857,11.5091,11.6214,10.8143,11.2955,12.0267,10.8727,11.7643,11.887,11.7615,11.6231,10.9538,10.9
std. dev.,1.1138,1.4571,2.1116,1.3669,1.7604,2.7266,2.3032,1.7352,2.2186,3.6922,1.4329,1.7046,0.6813,1.3274,1.7619,2.067
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) -,computed) - 20.0 to 24.9 percent,,,,,,,,,,,,,,,
value,13.2062,14.3533,13.4909,11.9311,13.9891,13.1597,11.7683,13.0468,12.1351,12.6466,13.3443,12.5853,12.4554,12.7517,12.7303,12.0886
min,10.4,7.8,9.9,8.7,10.8,11.3,9,7.8,7.9,8.8,9.8,7.4,10.6,9.5,9.4,8.3
max,17.8,18,22,14.8,18.9,17.9,12.9,17.3,14.8,15.1,16,18.4,16.9,17.7,19.7,17
mean,13.2333,14.3385,13.5474,11.9238,13.9727,13.1929,11.7714,13.0773,12.1,12.6636,13.3357,12.6348,12.4692,12.7462,12.6923,12.0529
std. dev.,1.6849,2.5085,2.3743,1.946,2.0573,1.6918,1.3512,2.4503,2.034,1.65,1.8883,2.8675,1.6825,2.1157,2.7192,2.2943
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) -,computed) - 15.0 to 19.9 percent,,,,,,,,,,,,,,,
value,12.4534,14.4791,14.6174,13.6428,13.9811,13.9493,12.3019,12.9198,12.4332,12.732,14.407,12.7885,10.7045,11.1455,11.679,12.417
min,8.4,12.7,8.7,9.1,10.9,8.3,10.1,9.3,6,8.4,12.5,8.8,7.2,5.7,8.8,7.8
max,14.4,17.7,17.6,16.1,17.5,16.9,13.5,17.1,18.4,15.3,21.2,18.3,13.7,19.6,13.6,19.5
mean,12.4722,14.5,14.6368,13.6571,14.0318,13.9429,12.3,12.9227,12.44,12.7,14.4,12.8348,10.7,11.1692,11.6769,12.4353
std. dev.,1.5992,1.6492,2.3495,1.6467,1.8834,2.3412,1.4537,2.269,2.8797,2.0933,2.3294,2.5375,2.0207,3.6036,1.6774,2.7973
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT - Occupied units paying rent - Less than $500,,,,,,,,,,,,,,,,
value,11.6042,12.0918,15.4731,17.6793,7.048,11.0053,10.6275,16.672,6.2258,6.767,12.1032,13.4871,5.8106,7.6497,8.3604,10.7162
min,6.7,6,9.7,10.7,3.7,5.4,7.6,8.8,4.3,3.9,7.8,6.7,3,4.7,3.4,3.6
max,18.9,21.5,28.1,25.4,11.1,17,16.2,28.5,12.3,12.3,22.4,24.7,10,11,16.5,22.9
mean,11.5389,12.0583,15.4842,17.6571,7.0579,11.0231,10.5857,16.6227,6.2385,6.7909,12.1357,13.4091,5.8308,7.6583,8.3667,10.7235
std. dev.,3.3682,4.2703,3.9308,3.5223,2.0271,3.22,3.1541,4.6234,2.2115,2.6561,4.2462,5.0344,2.083,1.957,3.6973,6.1901
,,,,,,,,,,,,,,,,
2016 Estimate; GROSS RENT - Occupied units paying rent - $500 to $999,,,,,,,,,,,,,,,,
value,35.8553,53.3831,63.2688,62.5455,41.3678,59.5966,55.6839,62.6762,32.1076,50.0266,55.104,58.6665,12.6328,46.0657,49.7404,49.9793
min,16.2,39.9,56.6,50.5,29,51.8,40.8,52.1,16.2,27.2,40.8,47.3,7.3,27.1,33.3,33.8
max,59.8,62.9,71.7,70.7,59.7,66.8,67.1,73.3,61.7,62.3,65.5,67.3,17.5,58.5,65.6,66
mean,35.7611,53.325,63.3158,62.4714,41.4,59.6,55.8429,62.6682,32.1769,50.0273,55.1286,58.6364,12.6692,46.1,49.8833,50.1235
std. dev.,10.62,6.612,4.7527,5.317,7.5295,3.8777,9.4497,5.5022,14.1889,10.4958,7.136,4.9008,3.295,8.749,9.4034,10.4044
,,,,,,,,,,,,,,,,
"2016 Estimate; GROSS RENT - Occupied units paying rent - $3,000 or more",,,,,,,,,,,,,,,,
value,0.8855,0.4742,0.4247,0.3306,0.6071,0.4529,0.4691,0.3923,1.1467,0.8721,0.3027,0.2614,6.9048,0.7475,0.3041,0.6774
min,0.1,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
max,3.8,1,2.5,1.3,2,1.7,0.7,1.3,2.5,2.4,1.2,0.8,16.4,1.8,1.1,2.4
mean,0.9,0.475,0.4316,0.3381,0.6,0.4538,0.4714,0.3955,1.1462,0.8636,0.2929,0.2636,6.9,0.75,0.3,0.6882
std. dev.,0.8402,0.3957,0.5706,0.3427,0.4583,0.5651,0.243,0.4214,0.6437,0.7117,0.3689,0.277,4.071,0.4927,0.3693,0.7769
,,,,,,,,,,,,,,,,
"2016 Estimate; GROSS RENT - Occupied units paying rent - $2,500 to $2,9",,,,,,,,,,,,,,,,
value,1.187,0.551,0.3158,0.2468,0.7963,0.2735,0.3592,0.2564,1.7706,0.6371,0.221,0.16,7.0186,0.717,0.6018,0.6212
min,0.2,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0.1,0
max,4.5,1.5,1.2,0.6,1.6,1,0.8,1.4,4.2,1.2,0.8,1.1,13.9,2.4,1.3,2.2
mean,1.2,0.5583,0.3158,0.2524,0.7947,0.2692,0.3571,0.25,1.7538,0.6364,0.2214,0.1636,7.0154,0.7083,0.6083,0.6176
std. dev.,1.0561,0.4738,0.3287,0.199,0.4428,0.3119,0.3155,0.4351,1.2461,0.5124,0.2155,0.2665,2.9393,0.7669,0.4166,0.6177
,,,,,,,,,,,,,,,,
"2016 Estimate; GROSS RENT - Occupied units paying rent - $2,000 to $2,4",,,,,,,,,,,,,,,,
value,3.3796,1.1522,0.79,0.8109,2.4695,1.2126,1.0346,0.7144,6.0308,1.8167,0.9622,1.0111,14.1434,2.5168,1.9619,1.6645
min,1.3,0,0,0,1.3,0,0.5,0,0.9,0.3,0,0,9,0.3,0.2,0
max,10.1,2.8,2.2,1.6,5.1,2.8,2,3.9,12.6,4.8,2.5,3.2,21.6,7.3,3.5,3.8
mean,3.3944,1.1583,0.7842,0.819,2.4684,1.2077,1.0286,0.7273,6.0154,1.8273,0.95,1.0227,14.1,2.4917,1.9583,1.6706
std. dev.,2.2885,0.824,0.5199,0.4966,0.9632,0.75,0.5469,0.8328,3.484,1.4636,0.7025,0.8315,3.7932,1.9505,1.022,1.2358
,,,,,,,,,,,,,,,,
"2016 Estimate; GROSS RENT - Occupied units paying rent - $1,500 to $1,9",,,,,,,,,,,,,,,,
value,12.2241,6.1545,2.5176,2.7665,11.4876,5.258,6.3985,2.7841,18.2668,9.0333,6.0463,3.9773,24.8859,10.321,7.7723,6.7078
min,4.7,1.8,0,0.9,3.7,1.5,3.5,0,2.5,3.4,1.2,0.5,18.3,6.1,2.4,1.4
max,22.7,12.8,4.9,6.1,18,8.4,12.9,6.8,27.6,19.2,11.5,7.9,29.9,21.5,14.2,13.2
mean,12.3056,6.1833,2.5,2.7762,11.4842,5.2615,6.3571,2.8,18.2308,9.0545,6.0357,4.0045,24.8538,10.2833,7.7667,6.6706
std. dev.,4.9158,3.0469,1.4256,1.3315,3.7219,2.1485,3.0413,1.7386,7.164,4.5992,3.2438,1.7919,3.4999,4.6019,3.7454,3.5415
,,,,,,,,,,,,,,,,
"2016 Estimate; GROSS RENT - Occupied units paying rent - $1,000 to $1,4",,,,,,,,,,,,,,,,
value,34.839,26.2001,17.2198,15.6397,36.2252,22.1933,25.3849,16.4995,34.4908,30.8297,25.246,22.4547,28.635,31.9805,31.2681,29.6697
min,24.3,16.6,8.9,8.6,24.8,13.2,19.6,6.9,22.6,21.2,12.4,13.6,13.9,24.7,15.2,9.5
max,41.8,35.6,25.4,28.8,44.9,32.5,32.1,27,40.3,42.8,37.4,34.5,34.3,39.9,45.7,44.4
mean,34.8778,26.25,17.1789,15.7048,36.1947,22.1769,25.3143,16.5318,34.4769,30.7818,25.2214,22.5182,28.6615,32.0083,31.125,29.5412
std. dev.,5.5879,5.8432,4.5881,4.5443,5.7514,4.9626,5.1541,5.4794,5.7455,6.453,6.6812,5.7123,5.7473,4.2085,8.8621,10.4563
,,,,,,,,,,,,,,,,
2016 Estimate; BEDROOMS - Total housing units - No bedroom,,,,,,,,,,,,,,,,
value,2.4571,1.7732,2.0907,1.9226,1.4842,2.2301,5.1988,1.2527,3.514,2.2211,2.1079,1.7738,4.2599,2.1988,1.9269,2.0967
min,1.6,1.1,0.8,0.9,0.2,1.6,1.5,0.3,1.7,1.2,0.8,0.5,2.5,1.6,0.9,1.1
max,4.3,2.5,5.5,4.7,2.4,3.5,16,2.7,8.9,3.3,6.2,4.7,6.5,3.5,3.4,4.1
mean,2.45,1.7692,2.0684,1.9238,1.4773,2.2286,5.2429,1.2545,3.5067,2.2273,2.1,1.7696,4.2846,2.2,1.9231,2.0941
std. dev.,0.6671,0.4626,1.1353,0.7667,0.5126,0.6157,5.8051,0.5253,1.8258,0.5711,1.3479,1.0683,1.5863,0.4673,0.7928,0.9807
,,,,,,,,,,,,,,,,
2016 Estimate; BEDROOMS - Total housing units - 5 or more bedrooms,,,,,,,,,,,,,,,,
value,4.0484,7.218,4.8849,3.5078,8.4876,5.9891,4.0183,2.8136,5.1644,5.4047,2.5191,3.1895,5.1612,3.1108,2.8873,1.9513
min,2.6,3.7,2.8,2.6,3,2.9,2.5,0.5,2.9,3.7,1.2,1.5,2.9,1.5,1.4,0.9
max,6.2,18.4,11.6,4.8,28.2,9.8,5.2,6.3,8,8,3.8,5.4,9.9,5.9,6.5,4.5
mean,4.0556,7.2615,4.8842,3.5048,8.4045,5.9786,4.0286,2.8318,5.1733,5.3818,2.5143,3.2087,5.1154,3.0923,2.8923,1.9529
std. dev.,0.9811,3.9978,2.1389,0.5408,6.4367,1.9823,1.0499,1.3153,1.7227,1.3355,0.8347,1.1172,1.9684,1.361,1.4609,0.8917
,,,,,,,,,,,,,,,,
2016 Estimate; BEDROOMS - Total housing units - 4 bedrooms,,,,,,,,,,,,,,,,
value,17.0104,20.5105,17.1956,16.1085,20.2377,18.9655,15.8697,13.6546,18.1768,18.651,16.0713,16.1679,17.7325,17.1407,16.5138,11.9422
min,12.2,17.7,14.2,9.5,15.2,16.1,12.4,10.2,11.5,13.9,11.1,9.4,13.1,11.7,12.2,6.5
max,20.6,25.3,20.4,19.2,25.6,22,17.4,17.1,24.2,21.8,22.3,21.4,24.2,22.9,20,17.5
mean,17.0611,20.4615,17.2474,16.1333,20.2182,18.9857,15.8714,13.6545,18.16,18.6273,16.0571,16.1522,17.6538,17.0846,16.5308,11.9588
std. dev.,2.3032,2.1461,1.9135,2.5435,2.8098,1.9155,1.7528,1.6136,3.2656,2.548,2.6117,3.0072,3.6848,3.9845,2.3907,3.5226
,,,,,,,,,,,,,,,,
2016 Estimate; BEDROOMS - Total housing units - 3 bedrooms,,,,,,,,,,,,,,,,
value,37.4522,38.2596,40.58,42.0748,41.1489,35.5432,39.6055,48.3623,35.1334,36.6883,47.0764,49.6934,32.1422,44.3274,42.8056,45.1262
min,31.8,31.2,32.7,37.4,26.4,26.9,34.7,41.7,30,31,42.5,44.5,27.9,35.6,32.9,37.1
max,43.9,48.4,46.2,47.7,48.7,43.5,43.7,54.3,40.3,42.4,54.2,56.4,39.1,50.2,53.2,52
mean,37.4556,38.2923,40.5632,42.1048,41.2591,35.5357,39.6143,48.3318,35.12,36.7273,47.0857,49.5957,32.1308,44.3692,42.8,45.1529
std. dev.,2.6306,5.7308,3.0378,3.0472,6.4928,5.0839,3.282,3.6115,3.3603,3.2979,3.2978,3.2131,3.6559,4.0553,6.5041,3.6838
,,,,,,,,,,,,,,,,
2016 Estimate; BEDROOMS - Total housing units - 2 bedrooms,,,,,,,,,,,,,,,,
value,26.9232,22.9302,25.9444,26.4432,21.5711,27.3439,25.2237,26.1757,26.3033,25.5398,23.3836,22.872,26.9237,25.7189,26.7863,30.8257
min,20.2,16.4,21.3,22.5,16.1,20.5,21.4,20.8,20.6,20.4,19.1,16,20.4,20.9,23.2,22.8
max,32.2,31.2,29.7,37.5,25.9,33.4,30.1,32.3,36.8,30.6,30.4,32,31.1,34.4,36.3,43.2
mean,26.8722,22.9,25.9211,26.4048,21.5591,27.3857,25.1857,26.1682,26.3267,25.5364,23.4286,22.9304,26.9846,25.7462,26.7846,30.8176
std. dev.,3.3431,3.4103,2.3857,3.346,2.7087,3.6597,2.7095,2.6345,3.7712,3.5308,3.4017,3.4358,2.9345,3.3533,3.4935,5.6799
,,,,,,,,,,,,,,,,
2016 Estimate; BEDROOMS - Total housing units - 1 bedroom,,,,,,,,,,,,,,,,
value,12.1024,9.2853,9.2835,9.9342,7.0812,9.9195,10.041,7.7412,11.7271,11.5135,8.7992,6.303,13.7791,7.4957,9.0956,8.0703
min,9.7,6.5,6.2,7.7,4,5.6,7.3,4.8,7.7,8.4,5.4,2,8.4,4.8,3.4,4
max,15,13,11.6,12.2,9.8,13.8,12.6,12.3,18.1,15.1,13,10.1,20.7,10.3,13.3,17
mean,12.1,9.2923,9.2947,9.919,7.0909,9.8786,10.0143,7.7591,11.7333,11.5182,8.7714,6.3435,13.8308,7.5,9.0846,8.0353
std. dev.,1.3916,2.1884,1.544,1.1483,2.0088,2.3515,2.0145,1.7898,2.5848,2.3824,2.213,1.9336,3.2027,1.7122,3.0108,3.1916
,,,,,,,,,,,,,,,,
2015 Percent Units Authorized,,,,,,,,,,,,,,,,
value,0.5416,1.1729,0.5354,0.3757,2.0081,1.5716,0.5826,0.6419,1.184,2.0449,1.2111,0.9662,0.6459,0.9342,1.4139,1.1642
min,0.2294,0.4849,0,0.2109,0.8726,0.4339,0.0352,0.1514,0.0264,0.7154,0.1828,0.3048,0.3821,0.317,0.5454,0.1628
max,0.9049,1.9235,0.9066,0.7566,3.4336,2.9719,0.9687,1.7255,2.507,2.8741,2.115,1.8765,1.1048,2.7108,2.7951,2.3209
mean,0.5465,1.1729,0.54,0.3724,2.0031,1.5578,0.5881,0.6364,1.1769,2.0401,1.2101,0.9689,0.6453,0.9414,1.4147,1.1752
std. dev.,0.2161,0.447,0.2226,0.1202,0.7099,0.751,0.3606,0.3873,0.7118,0.6463,0.5666,0.4263,0.2231,0.5819,0.6799,0.5342
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014,,,,,,,,,,,,,,,,
value,0.2477,0.5111,0.3837,0.2093,0.8602,0.9892,0.4694,0.4738,0.6101,0.8341,0.8915,0.4913,0.356,0.3919,0.7512,0.5582
min,0.1,0.2,0.1,0,0.2,0.4,0.2,0.2,0,0,0.2,0.1,0.1,0,0.3,0.2
max,0.6,1.1,1,0.6,1.5,2.1,0.7,1.1,1.4,1.9,2.7,1.3,0.7,0.9,1.5,1.4
mean,0.25,0.5154,0.3895,0.2095,0.8591,1,0.4714,0.4727,0.6067,0.8364,0.9,0.4957,0.3538,0.3923,0.7538,0.5647
std. dev.,0.1425,0.2267,0.1997,0.1446,0.3261,0.6089,0.1799,0.2585,0.3731,0.5555,0.7285,0.2567,0.1808,0.2565,0.3971,0.3316
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010,,,,,,,,,,,,,,,,
value,1.5728,2.9231,1.9923,1.3926,4.5613,4.3439,3.2828,3.0635,2.6006,5.0252,5.7266,3.6679,1.79,2.2264,4.5534,2.4817
min,0.9,1.7,0.6,0.3,2.1,2.5,2,1.2,1.5,2.9,3,1.7,1.1,1,1.8,0.9
max,2.6,4.8,5.1,3,7.8,7.8,5.3,5.6,4.1,7.1,8.5,6.1,3.4,4.9,13.3,5.6
mean,1.5833,2.9231,2.0158,1.381,4.5591,4.3643,3.2714,3.0682,2.6,5.0364,5.75,3.6652,1.7769,2.2385,4.5923,2.4941
std. dev.,0.5216,0.8338,1.0351,0.6493,1.5714,1.8266,1.2711,1.0494,0.8435,1.1792,1.6631,1.1336,0.6845,0.9963,3.2743,1.3935
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000,,,,,,,,,,,,,,,,
value,9.2685,16.5524,12.0033,7.7319,22.4639,16.9037,14.8995,14.9441,16.6,21.6395,17.8992,19.5135,9.6029,17.3237,22.2213,25.3196
min,5.4,10.1,7.9,4.1,12.3,12.7,12.1,10.2,13.2,17.6,13.5,15.2,6.3,11.8,16.6,18.4
max,15.3,26,15.4,10.5,35.4,23.7,19.4,22.5,23.5,28.1,27.5,28.1,15,29.7,33,33.6
mean,9.3278,16.5615,12.0158,7.7143,22.4955,16.8714,14.9143,14.9318,16.5667,21.6364,17.9071,19.4826,9.5692,17.3538,22.2308,25.3647
std. dev.,2.5763,4.1592,1.716,1.7194,5.7136,2.9723,2.7781,3.0807,2.7026,3.2788,4.2098,2.9486,2.6383,4.9859,4.289,4.1613
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990,,,,,,,,,,,,,,,,
value,9.5965,14.1168,13.226,9.058,19.4005,14.9635,14.5335,15.0006,16.8708,18.3652,15.8441,18.7339,10.5462,15.8947,21.4494,19.6262
min,5.8,10.2,9.1,6.2,15.6,5.4,9.7,8.9,12.3,13.2,10.4,14.5,6.1,13.1,13.8,14.9
max,13.4,17.5,16.2,13.6,24.3,17.3,18.1,20.2,21.5,24.9,23.4,22.4,14.5,25.2,29.4,24.5
mean,9.6389,14.0923,13.2474,9.0429,19.4227,14.9286,14.5714,14.9909,16.8867,18.3727,15.9,18.7,10.5077,15.9231,21.4385,19.6412
std. dev.,2.0509,1.8039,1.8572,1.9286,2.7226,2.9855,3.5462,3.3005,2.8079,3.3616,3.9958,1.9536,2.5418,3.1644,4.5465,3.0112
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980,,,,,,,,,,,,,,,,
value,12.4308,12.2899,9.758,8.4268,15.0255,11.3534,11.7786,14.1623,15.6082,13.5293,14.4198,16.0106,13.9891,15.3774,17.9807,21.1852
min,7.9,9,5.2,6.2,7.4,8.5,9.9,11.4,5.5,7,10.3,10.5,7.8,9.8,12.9,15.5
max,21.7,15.6,12,11.5,19.7,16.2,13.9,19.1,25,18.9,16.9,24,19.4,22.3,21.5,29.7
mean,12.4389,12.2692,9.7158,8.3857,15.0455,11.35,11.7714,14.1864,15.6,13.5091,14.4,16.0174,13.9462,15.3538,17.9769,21.1647
std. dev.,3.0828,1.9619,1.8533,1.7491,3.1016,2.1382,1.458,2.1468,5.2385,3.8109,2.0539,2.7374,3.3751,3.1317,2.3886,4.536
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970,,,,,,,,,,,,,,,,
value,12.8705,15.4154,15.9235,14.1159,14.7006,16.8145,14.802,17.0956,20.0934,15.9097,16.4064,16.4807,18.84,19.1203,15.3721,14.6508
min,9.7,11,12.6,9.9,10,13.3,11.6,11.8,14.7,12.2,11.4,13.1,10.2,13.3,10.7,10
max,15.2,22,21.6,18.4,18.4,25,18.7,22.3,26.8,18.6,22.9,20.6,25,24.5,22.4,22.4
mean,12.8944,15.4385,15.9053,14.1286,14.7182,16.85,14.8,17.0636,20.1333,15.9,16.3857,16.487,18.8,19.1308,15.3538,14.6529
std. dev.,1.3471,3.0931,2.2097,2.4436,2.3184,2.9927,2.3216,2.3665,3.4377,2.3126,2.9992,1.9657,4.4779,3.4846,3.4801,3.1526
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960,,,,,,,,,,,,,,,,
value,10.841,9.4649,12.1453,12.156,7.6589,9.4527,10.6338,11.5959,9.9217,8.3288,10.8619,9.5821,15.129,10.1433,7.6654,7.4425
min,7.6,6.3,8.7,7.5,1.3,6.7,6.6,8.3,6.8,5.5,6.9,5,11.3,1.9,5.5,5.2
max,14.6,12,16,17,12.1,12,13.8,15.7,13.4,10.7,14.6,12.1,20.4,13.3,10.6,15.2
mean,10.8444,9.4615,12.1632,12.2048,7.6409,9.4857,10.6571,11.5682,9.9467,8.3364,10.8714,9.587,15.0923,10.1308,7.6769,7.4294
std. dev.,1.9002,1.5655,1.7503,2.4394,2.2646,1.7802,2.7227,1.9521,2.1186,1.5042,2.4643,2.0328,3.1627,2.8388,1.7711,2.339
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950,,,,,,,,,,,,,,,,
value,12.3493,10.1204,12.274,14.7757,6.3971,9.1751,9.0989,10.9065,7.5878,6.7684,9.313,7.3019,12.8403,8.7868,5.5878,4.6494
min,6.8,5.1,9.4,9.2,1,6.6,5.2,7.3,4.2,3.5,2.9,4.6,7.8,1.9,2.1,1.2
max,16.5,12.5,17.5,19.6,10.5,12.1,11.9,18.8,11,8.9,14.7,10.7,19,11.5,10.3,6.8
mean,12.3167,10.1538,12.2368,14.8238,6.3591,9.1786,9.1286,10.9273,7.5667,6.7545,9.3,7.2826,12.9231,8.7692,5.5615,4.6294
std. dev.,3.1143,1.9856,2.0654,2.5741,2.233,1.4614,2.5624,3.1404,2.108,1.5731,3.5989,1.5579,3.242,2.4649,2.1085,1.823
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940,,,,,,,,,,,,,,,,
value,5.8577,4.1862,6.2552,7.7247,3.0669,4.0605,4.8897,5.5137,3.0612,2.2728,4.0317,3.1793,5.658,4.9904,1.9133,1.6986
min,2.8,2.4,2.9,5.4,0.6,2,4.1,3.2,0.6,0.8,1.6,2.1,3,1.6,0.7,0.1
max,7.9,5.7,9.5,9.9,5.5,6.9,5.6,8.7,5.6,5.4,6.1,4.7,8.9,7.2,3.2,3.4
mean,5.8556,4.2,6.2263,7.7333,3.0636,4.0357,4.8857,5.5136,3.04,2.3,4.0214,3.1957,5.6923,4.9769,1.9077,1.7
std. dev.,1.2585,0.995,1.5549,1.0767,1.1854,1.2929,0.5843,1.5154,1.4594,1.2775,1.5398,0.794,2.1523,1.5423,0.7444,1.0822
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939,,,,,,,,,,,,,,,,
value,24.9527,14.4115,16.0266,24.3802,5.868,11.957,15.6694,7.2162,7.0392,7.3088,4.5912,5.0324,11.2254,5.7232,2.5063,2.3868
min,13.6,7.4,12.6,13.6,1.6,2.5,5.4,3.4,0.4,0.9,1.9,1.2,3.4,2.7,0.4,0.3
max,34.3,22.3,26.3,37.3,10.2,16.4,34,13.6,14.3,14.4,7.8,10.9,28.6,8,5.7,7.1
mean,24.8389,14.3769,16.0737,24.3476,5.8409,11.95,15.5857,7.25,7.0467,7.3,4.55,5.0826,11.3154,5.7077,2.5077,2.3588
std. dev.,5.7053,4.6623,3.1915,5.5985,2.3942,3.9855,8.7648,2.877,4.4544,5.0731,1.9934,2.5582,7.6561,1.8733,1.6485,1.8805
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,6.4994,8.1806,7.6937,6.7777,8.7025,9.9455,9.1076,7.497,9.5283,11.2815,10.5519,8.4917,6.644,8.1308,11.1346,7.342
min,5.2,6,6,4.2,6.1,8.1,5.9,5.5,7.6,8.7,7.8,4.3,5,6.3,8,5.4
max,8.4,13.4,11.4,10,11.3,12.9,13.7,10.4,13.1,15.2,13.5,11.7,8.9,9.6,17.2,10.2
mean,6.5056,8.1923,7.7105,6.7571,8.7,9.9571,9.1,7.5136,9.56,11.3,10.5714,8.4261,6.6385,8.1538,11.1615,7.3353
std. dev.,0.8235,1.9094,1.2087,1.461,1.0574,1.2847,3.1048,1.3134,1.6199,2.4343,1.6434,1.6864,1.1962,0.9938,2.4609,1.468
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,32.3294,33.916,35.0783,32.089,37.5759,39.5936,38.2077,34.319,40.3521,43.0301,40.6555,35.4657,36.5314,41.0649,42.1312,36.671
min,29.2,29.1,31.4,28,30.8,36.7,35.4,28.2,34.8,40,35.7,26.5,31.7,36.9,37.6,30.8
